,densidad de potencia,coordenadas,Longitude,Latitude,value
0,2.006,"-57.54265074968813,-38.00946881020497,22.20418645483292",-57.54265074968813,-38.00946881020497,22.20418645483292
1,1.456,"-57.54400435251471,-38.00914892090206,24.35478199461131",-57.54400435251471,-38.00914892090206,24.35478199461131
2,14.87,"-57.54454901544158,-38.00793373672784,28.58025967589007",-57.54454901544158,-38.00793373672784,28.58025967589007
3,0.319,"-57.58132540226884,-38.01197453195897,19.31765706776068",-57.58132540226884,-38.01197453195897,19.31765706776068
