,densidad de potencia,coordenadas,Longitude,Latitude,value
69,2.183,"-57.55642512260722,-37.99319854021635,15.28247978837113",-57.55642512260722,-37.99319854021635,15.28247978837113
70,0.026,"-57.55589435883343,-37.99260585111109,14.41808474921173",-57.55589435883343,-37.99260585111109,14.41808474921173
71,0.027,"-57.55669554979153,-37.99211416801141,12.28852441916528",-57.55669554979153,-37.99211416801141,12.28852441916528
72,0.365,"-57.55776677483248,-37.99167709381129,16.76537383620602",-57.55776677483248,-37.99167709381129,16.76537383620602
73,0.232,"-57.55743597438005,-37.99281135543083,16.34433735272496",-57.55743597438005,-37.99281135543083,16.34433735272496
74,0.126,"-57.5583588364136,-37.99235730494312,16.44986351915785",-57.5583588364136,-37.99235730494312,16.44986351915785
75,0.087,"-57.55870250577067,-37.99112789883517,15.06316614299009",-57.55870250577067,-37.99112789883517,15.06316614299009
76,0.221,"-57.55932678750685,-37.99180510146793,13.99105160982588",-57.55932678750685,-37.99180510146793,13.99105160982588
77,0.214,"-57.55981381557482,-37.99061009950845,15.48567419518806",-57.55981381557482,-37.99061009950845,15.48567419518806
78,0.276,"-57.56038348485132,-37.99129383995349,13.14494091047297",-57.56038348485132,-37.99129383995349,13.14494091047297
79,0.214,"-57.56072112092476,-37.99011230656867,18.79356356120589",-57.56072112092476,-37.99011230656867,18.79356356120589
80,0.276,"-57.56140876497219,-37.99084885525975,16.76713568127523",-57.56140876497219,-37.99084885525975,16.76713568127523
81,0.121,"-57.56162428170499,-37.98986226708149,18.79566888759024",-57.56162428170499,-37.98986226708149,18.79566888759024
82,0.158,"-57.56227755258836,-37.99033528428044,17.13852251507571",-57.56227755258836,-37.99033528428044,17.13852251507571
83,0.055,"-57.56307325396512,-37.99129117541179,18.85599724973268",-57.56307325396512,-37.99129117541179,18.85599724973268
84,0.088,"-57.56372686923818,-37.99209172048766,18.37672922602693",-57.56372686923818,-37.99209172048766,18.37672922602693
85,0.249,"-57.56433490359166,-37.99283320100342,19.68757672316007",-57.56433490359166,-37.99283320100342,19.68757672316007
86,0.096,"-57.55702238372854,-37.99079040441131,15.25894204480388",-57.55702238372854,-37.99079040441131,15.25894204480388
87,0.183,"-57.55639278969895,-37.98999038903111,13.3828560110048",-57.55639278969895,-37.98999038903111,13.3828560110048
88,0.111,"-57.55599941469969,-37.99127284114881,14.06268625741724",-57.55599941469969,-37.99127284114881,14.06268625741724
89,0.163,"-57.55538664735309,-37.99053051289766,14.63085022154949",-57.55538664735309,-37.99053051289766,14.63085022154949
90,0.335,"-57.55506420987902,-37.99176124559119,13.79766326372472",-57.55506420987902,-37.99176124559119,13.79766326372472
91,0.276,"-57.55447066763465,-37.99098677793933,13.28318110596276",-57.55447066763465,-37.99098677793933,13.28318110596276
92,0.183,"-57.55471889835745,-37.99309012683667,14.74049448864487",-57.55471889835745,-37.99309012683667,14.74049448864487
93,0.274,"-57.55396707190436,-37.99226162276643,15.87282770111621",-57.55396707190436,-37.99226162276643,15.87282770111621
94,0.187,"-57.55150811843626,-37.98815242344036,14.202953669908",-57.55150811843626,-37.98815242344036,14.202953669908
95,0.245,"-57.55361769939503,-37.99353493422122,13.2982977875843",-57.55361769939503,-37.99353493422122,13.2982977875843
96,0.172,"-57.55302736809907,-37.99274752018621,12.31617303495246",-57.55302736809907,-37.99274752018621,12.31617303495246
97,0.034,"-57.55237141537553,-37.99193476810967,13.42816692682559",-57.55237141537553,-37.99193476810967,13.42816692682559
98,0.888,"-57.55901692803577,-38.00024496340627,11.7856650376387",-57.55901692803577,-38.00024496340627,11.7856650376387
